skill,cooccurrence_count,association_ratio,lift_score,skill_frequency,target_skill_frequency,cooccurrence_percentage
sql,135,0.553,1.499,193,244,55.32786885245902
machinelearning,134,0.549,1.068,269,244,54.91803278688525
pytorch,92,0.377,3.13,63,244,37.704918032786885
spark,71,0.291,1.553,98,244,29.098360655737704
airflow,67,0.275,1.89,76,244,27.459016393442624
r,51,0.209,1.885,58,244,20.901639344262296
aws,49,0.201,1.364,77,244,20.081967213114755
java,42,0.172,1.608,56,244,17.21311475409836
etl,40,0.164,1.453,59,244,16.39344262295082
llm,39,0.16,1.086,77,244,15.983606557377051
tensorflow,38,0.156,1.481,55,244,15.573770491803279
excel,38,0.156,0.783,104,244,15.573770491803279
kubernetes,37,0.152,1.586,50,244,15.163934426229508
snowflake,37,0.152,1.555,51,244,15.163934426229508
tableau,34,0.139,1.257,58,244,13.934426229508196
ci/cd,34,0.139,1.619,45,244,13.934426229508196
gcp,31,0.127,1.582,42,244,12.704918032786885
kafka,31,0.127,1.444,46,244,12.704918032786885
docker,29,0.119,1.776,35,244,11.885245901639344
datamodeling,27,0.111,1.654,35,244,11.065573770491802
dbt,25,0.102,1.576,34,244,10.245901639344263
deeplearning,24,0.098,1.169,44,244,9.836065573770492
azure,23,0.094,1.202,41,244,9.426229508196721
looker,23,0.094,1.297,38,244,9.426229508196721
bigquery,22,0.09,1.429,33,244,9.01639344262295
scala,21,0.086,1.8,25,244,8.60655737704918
databricks,18,0.074,1.837,21,244,7.377049180327869
scikit-learn,18,0.074,1.837,21,244,7.377049180327869
datapipeline,18,0.074,2.143,18,244,7.377049180327869
hive,16,0.066,1.905,18,244,6.557377049180328
nlp,16,0.066,1.106,31,244,6.557377049180328
mysql,15,0.061,1.34,24,244,6.147540983606557
redshift,15,0.061,1.398,23,244,6.147540983606557
bash,14,0.057,2.143,14,244,5.737704918032787
naturallanguageprocessing,13,0.053,1.032,27,244,5.327868852459016
elt,13,0.053,1.548,18,244,5.327868852459016
computervision,12,0.049,1.354,19,244,4.918032786885246
postgresql,12,0.049,1.286,20,244,4.918032786885246
datawarehouse,11,0.045,1.072,22,244,4.508196721311475
recommendationsystems,10,0.041,0.794,27,244,4.098360655737705
hadoop,10,0.041,0.974,22,244,4.098360655737705
git,9,0.037,1.206,16,244,3.6885245901639343
dynamodb,9,0.037,1.206,16,244,3.6885245901639343
datalake,9,0.037,1.754,11,244,3.6885245901639343
mongodb,8,0.033,0.953,18,244,3.278688524590164
powerbi,8,0.033,0.779,22,244,3.278688524590164
javascript,7,0.029,0.834,18,244,2.8688524590163933
matlab,6,0.025,2.143,6,244,2.459016393442623
keras,5,0.02,1.786,6,244,2.0491803278688523
googlecloud,5,0.02,1.072,10,244,2.0491803278688523
matplotlib,5,0.02,2.143,5,244,2.0491803278688523
oracle,5,0.02,0.974,11,244,2.0491803278688523
linux,5,0.02,1.786,6,244,2.0491803278688523
timeseries,5,0.02,1.531,7,244,2.0491803278688523
redis,5,0.02,1.072,10,244,2.0491803278688523
plotly,4,0.016,2.143,4,244,1.639344262295082
reinforcementlearning,4,0.016,0.504,17,244,1.639344262295082
typescript,4,0.016,1.072,8,244,1.639344262295082
elasticsearch,3,0.012,1.286,5,244,1.2295081967213115
xgboost,3,0.012,2.143,3,244,1.2295081967213115
shell,1,0.004,2.143,1,244,0.4098360655737705
jupyter,1,0.004,2.143,1,244,0.4098360655737705
spss,1,0.004,1.072,2,244,0.4098360655737705
seaborn,1,0.004,2.143,1,244,0.4098360655737705
largelanguagemodel,1,0.004,1.072,2,244,0.4098360655737705
cassandra,1,0.004,2.143,1,244,0.4098360655737705
sas,1,0.004,1.072,2,244,0.4098360655737705
d3.js,0,0.0,0.0,2,244,0.0
