title,company,location,description,salary_min,salary_max,salary_currency,contract_type,created,url,category,source
"Senior Manager, Data Science",Cisco Meraki,US,"We believe that when passionate people are able to spend less time struggling with technology, they can spend more time on what matters - like teaching children, running businesses, keeping airports safe, and connecting disaster victims with relief. That’s the real power of simplicity. Cisco Meraki is the leader in cloud-managed IT, thanks to our creative, inclusive, fearless team that is driven to simplify technology so the world can simply work! Cisco Meraki is revolutionizing the way IT admi…",114305.65,114305.65,,,2025-09-18T21:06:49Z,https://www.adzuna.com/details/5406049549?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics,Atlas Air Worldwide Holdings,"White Plains, Westchester County","Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air’s competitive advantage in the outsourced aviation industry. This role will be instrumental in building and scaling our data science and analytics capabilities while directly contributing to our value creation initiatives across our company. Reporting to the VP of Data…",232984.78,232984.78,,,2025-06-18T12:07:09Z,https://www.adzuna.com/details/5256514307?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics,Atlas Air Worldwide Holdings,"Miami, Miami-Dade County","Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air’s competitive advantage in the outsourced aviation industry. This role will be instrumental in building and scaling our data science and analytics capabilities while directly contributing to our value creation initiatives across our company. Reporting to the VP of Data…",210039.45,210039.45,,,2025-06-18T12:06:59Z,https://www.adzuna.com/details/5256514197?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics,Atlas Air Worldwide Holdings,"Elsmere, Kenton County","Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air’s competitive advantage in the outsourced aviation industry. This role will be instrumental in building and scaling our data science and analytics capabilities while directly contributing to our value creation initiatives across our company. Reporting to the VP of Data…",209201.03,209201.03,,,2025-06-18T12:07:00Z,https://www.adzuna.com/details/5256514210?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics (Miami),Atlas Air,"Brickell, Miami-Dade County","Overview Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air's competitive advantage in the outsourced aviation industry. This role will be instrumental in building and scaling our data science and analytics capabilities while directly contributing to our value creation initiatives across our company. Reporting to the V…",218751.67,218751.67,,,2025-09-16T07:57:39Z,https://www.adzuna.com/details/5401399529?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics (Miami),Davita Inc.,"Brickell, Miami-Dade County","Senior Director of Data Science and Analytics Job ID 2025-6703  of Openings 1 Category Information Technology City Miami State FL Company Atlas Air, Inc Employment Type (Portal Display) Regular Full-Time Overview Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air's competitive advantage in the outsourced aviation indus…",204572.89,204572.89,,,2025-06-20T20:57:03Z,https://www.adzuna.com/details/5260832028?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
"Director, Data Scientist - Apollo/Card Data",Capital One,"Pimmit, Fairfax County","Director, Data Scientist - Apollo/Card Data Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One, y…",187107.86,187107.86,,,2025-05-23T16:48:50Z,https://www.adzuna.com/details/5213308075?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
"Director, Data Scientist - Apollo/Card Data",Capital One,"Mc Lean, Fairfax County","Director, Data Scientist - Apollo/Card Data Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making. As a Data Scientist at Capital One, y…",263900.0,301200.0,,,2025-05-20T04:59:09Z,https://www.adzuna.com/details/5207192879?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Director of Data Science and Analytics (City of White Plains),Davita Inc.,"White Plains, Westchester County","Senior Director of Data Science and Analytics Job ID 2025-6704  of Openings 1 Category Information Technology City White Plains State NY Company Atlas Air, Inc Employment Type (Portal Display) Regular Full-Time Overview Atlas Air is looking for an exceptional Senior Director of Data Science & Analytics to lead our data-driven transformation and unlock actionable insights that will drive business growth, operational excellence, and fuel Atlas Air's competitive advantage in the outsourced aviatio…",187419.67,187419.67,,,2025-06-20T20:57:04Z,https://www.adzuna.com/details/5260832065?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
Senior Data Engineer,Prudential Ins Co of America,"Newark, Essex County","Job Classification: Technology - Engineering & Cloud Are you interested in building capabilities that enable the organization with innovation, speed, agility, scalability and efficiency? The Global Technology team takes great pride in our culture where digital transformation is built into our DNA! When you join our organization at Prudential, you’ll unlock an exciting and impactful career – all while growing your skills and advancing your profession at one of the world’s leading financial servi…",107700.0,160500.0,,,2025-08-18T17:51:24Z,https://www.adzuna.com/details/5357872824?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
2025-2026: Information Technology – Information and Analytics – Full Time (Previous Intern),Chevron,"Houston Spur, Sabine Parish","Chevron believes the future of energy is lower carbon. And we know that affordable, reliable, ever-cleaner energy is essential to achieving a more prosperous and sustainable world. For Chevron, reducing the carbon intensity of oil and gas represents a tremendous opportunity to advance the global net zero ambitions of the Paris Agreement and build a lower-carbon economy. Technology will play a crucial role in achieving this goal, and Chevron is seeking professionals with a desire to thrive in a …",94000.0,110000.0,,contract,2025-08-07T17:11:21Z,https://www.adzuna.com/details/5342624592?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
2025-2026 Information Technology – Information and Analytics – Full Time,Chevron,"Houston Spur, Sabine Parish","Chevron believes the future of energy is lower carbon. And we know that affordable, reliable, ever-cleaner energy is essential to achieving a more prosperous and sustainable world. For Chevron, reducing the carbon intensity of oil and gas represents a tremendous opportunity to advance the global net zero ambitions of the Paris Agreement and build a lower-carbon economy. Technology will play a crucial role in achieving this goal, and Chevron is seeking professionals with a desire to thrive in a …",94000.0,110000.0,,permanent,2025-08-07T15:39:40Z,https://www.adzuna.com/details/5342252733?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
"Data Engineer - PGIM Global Services (Tampa, FL - Hybrid)",PGIM,"Tampa, Hillsborough County","Job Classification: Technology - Engineering & Cloud A GLOBAL FIRM WITH A DIVERSE & INCLUSIVE CULTURE As the Global Asset Management business of Prudential, we’re always looking for ways to improve financial services. We’re passionate about making a meaningful impact - touching the lives of millions and solving financial challenges in an ever-changing world. We also believe talent is key to achieving our vision and are intentional about building a culture on respect and collaboration. When you …",147765.7,147765.7,,contract,2025-08-23T18:26:35Z,https://www.adzuna.com/details/5366041307?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
2025-2026 Information Technology – Information and Analytics – Intern,Chevron,"Houston Spur, Sabine Parish","Chevron believes the future of energy is lower carbon. And we know that affordable, reliable, ever-cleaner energy is essential to achieving a more prosperous and sustainable world. For Chevron, reducing the carbon intensity of oil and gas represents a tremendous opportunity to advance the global net zero ambitions of the Paris Agreement and build a lower-carbon economy. Technology will play a crucial role in achieving this goal, and Chevron is seeking interns with a desire to thrive in a cuttin…",49192.0,76960.0,,contract,2025-08-07T19:13:30Z,https://www.adzuna.com/details/5342802139?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
2025-2026 Information Technology – Information and Analytics – Intern (Previous Intern),Chevron,"Houston Spur, Sabine Parish","Chevron believes the future of energy is lower carbon. And we know that affordable, reliable, ever-cleaner energy is essential to achieving a more prosperous and sustainable world. For Chevron, reducing the carbon intensity of oil and gas represents a tremendous opportunity to advance the global net zero ambitions of the Paris Agreement and build a lower-carbon economy. Technology will play a crucial role in achieving this goal, and Chevron is seeking interns with a desire to thrive in a cuttin…",49192.0,78000.0,,contract,2025-08-07T16:52:13Z,https://www.adzuna.com/details/5342503101?utm_medium=api&utm_source=25a97320,IT Jobs,Adzuna
